timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674029873882,367,auth-register-invalid,400,Bad Request,Thread Group 1-17,text,true,,310,540,30,30,https://altashop-api.fly.dev/api/auth/register,367,0,321
1674029873760,486,auth-register-invalid,400,Bad Request,Thread Group 1-10,text,true,,310,540,30,30,https://altashop-api.fly.dev/api/auth/register,485,0,393
1674029874029,221,auth-register-invalid,400,Bad Request,Thread Group 1-24,text,true,,310,540,30,30,https://altashop-api.fly.dev/api/auth/register,221,0,122
1674029873692,596,auth-register-invalid,400,Bad Request,Thread Group 1-1,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,596,0,506
1674029873725,565,auth-register-invalid,400,Bad Request,Thread Group 1-8,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,564,0,473
1674029874098,192,auth-register-invalid,400,Bad Request,Thread Group 1-28,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,192,0,150
1674029874004,287,auth-register-invalid,400,Bad Request,Thread Group 1-23,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,287,0,193
1674029874072,219,auth-register-invalid,400,Bad Request,Thread Group 1-27,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,219,0,159
1674029874050,242,auth-register-invalid,400,Bad Request,Thread Group 1-26,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,242,0,178
1674029873912,380,auth-register-invalid,400,Bad Request,Thread Group 1-18,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,380,0,263
1674029873708,585,auth-register-invalid,400,Bad Request,Thread Group 1-7,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,585,0,461
1674029873819,474,auth-register-invalid,400,Bad Request,Thread Group 1-13,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,474,0,344
1674029873990,303,auth-register-invalid,400,Bad Request,Thread Group 1-22,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,303,0,189
1674029873915,379,auth-register-invalid,400,Bad Request,Thread Group 1-19,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,379,0,278
1674029873693,601,auth-register-invalid,400,Bad Request,Thread Group 1-6,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,601,0,495
1674029873759,535,auth-register-invalid,400,Bad Request,Thread Group 1-9,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,535,0,401
1674029873824,471,auth-register-invalid,400,Bad Request,Thread Group 1-14,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,471,0,327
1674029873861,434,auth-register-invalid,400,Bad Request,Thread Group 1-16,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,434,0,351
1674029873693,602,auth-register-invalid,400,Bad Request,Thread Group 1-5,text,true,,310,540,38,38,https://altashop-api.fly.dev/api/auth/register,602,0,500
